OUTLET,MENU,APLIKASI
GKR CENGKEH II,Paket Komplit Geprek Kmp S Pds,GOJEK
GKR CENGKEH II,Paket Komplit Geprek Bebek S Pds,GOJEK
GKR DINOYO,Geprek Crispy S Pds ,GOJEK
GKR DINOYO,Crisbar Saos Hot Lav ,GOJEK
GKR DINOYO,Jamur Krispi,GOJEK
GKR DINOYO,Cah Jamur,GOJEK
GKR DINOYO,Dimsum Dumpling,GOJEK
GKR DINOYO,Dimsum Keju,GOJEK
GKR DINOYO,Dimsum Ori,GOJEK
GKR DINOYO,Alacarte KoreanSpicy,GOJEK
GKR LANDUNGSARI,Geprek Kota S Pds ,GOJEK
GKR LANDUNGSARI,Geprek Crispy S Pds ,GOJEK
GKR LANDUNGSARI,Kerupuk,GOJEK
GKR SAWOJAJAR,Geprek Kota S Pds ,GOJEK
GKR SAWOJAJAR,Geprek Crispy S Pds ,GOJEK
GKR SIGURA,Mie Millenial,GOJEK
GKR SIGURA,Mie Zelenial,GOJEK
GKR SIGURA,Telur Viral ,GOJEK
GKR SIGURA,Geprek Kmp S Pds ,GOJEK
GKR SIGURA,Geprek Bebek S Pds ,GOJEK
GKR SIGURA,Ice Bubble Gum,GOJEK
GKR SUHAT,TIDAK ADA YANG HABIS,GOJEK
GKR SUKUN,Geprek Crispy S Pds ,GOJEK
GKR SUMBERSARI,Telur Crispy,GOJEK
GKR SUMBERSARI,Ayam Curry ,GOJEK
GKR SUMBERSARI,Mie Millenial,GOJEK
GKR SUMBERSARI,Mie Zelenial,GOJEK
AGN BATU II,OUTLET TUTUP,GOJEK
AGN BLIMBING II,Ayam Bakar ,GOJEK
AGN BLIMBING II,FG Paket Wings Melet + Es Teh,GOJEK
AGN BLIMBING II,Ayam Bakar ,GOJEK
AGN BLIMBING II,Kulit Krenyes,GOJEK
AGN BLIMBING II,Jamur Krispi,GOJEK
AGN BLIMBING II,Es Mega Mendung,GOJEK
AGN BULULAWANG,Ayam Bakar ,GOJEK
AGN BULULAWANG,FG Paket Wings Melet + Es Teh,GOJEK
AGN BULULAWANG,Ayam Bakar ,GOJEK
AGN BULULAWANG,Lele Bakar ,GOJEK
AGN BULULAWANG,Terong Penyet,GOJEK
AGN BULULAWANG,Kulit Krenyes,GOJEK
AGN BULULAWANG,Jamur Krispi,GOJEK
AGN BULULAWANG,Es Jeruk,GOJEK
AGN BULULAWANG,Es Mega Mendung,GOJEK
AGN BURING,Ayam Bakar ,GOJEK
AGN BURING,FG Paket Wings Melet + Es Teh,GOJEK
AGN BURING,Ayam Bakar ,GOJEK
AGN BURING,Lele Bakar ,GOJEK
AGN BURING,Terong Penyet,GOJEK
AGN BURING,Kulit Krenyes,GOJEK
AGN BURING,Jamur Krispi,GOJEK
AGN BURING,Es Mega Mendung,GOJEK
AGN DIENG,Ayam Bakar ,GOJEK
AGN DIENG,FG Paket Wings Melet + Es Teh,GOJEK
AGN DIENG,Ayam Makmur ,GOJEK
AGN DIENG,Ayam Bakar ,GOJEK
AGN DIENG,Lele Goreng ,GOJEK
AGN DIENG,Lele Bakar ,GOJEK
AGN DIENG,Terong Penyet,GOJEK
AGN DIENG,Kulit Krenyes,GOJEK
AGN DIENG,Jamur Krispi,GOJEK
AGN DIENG,Es Mega Mendung,GOJEK
AGN LAWANG,Ayam Bakar ,GOJEK
AGN LAWANG,FG Paket Wings Melet + Es Teh,GOJEK
AGN LAWANG,Ayam Bakar ,GOJEK
AGN LAWANG,Terong Penyet,GOJEK
AGN LAWANG,Kulit Krenyes,GOJEK
AGN LAWANG,Es Mega Mendung,GOJEK
AGN PAKIS,Ayam Bakar ,GOJEK
AGN PAKIS,FG Paket Wings Melet + Es Teh,GOJEK
AGN PAKIS,PK Geprek Kribo,GOJEK
AGN PAKIS,PK Geprek S.Bwg,GOJEK
AGN PAKIS,Ayam Bakar ,GOJEK
AGN PAKIS,Kulit Krenyes,GOJEK
AGN PAKIS,Telur Ceplok,GOJEK
AGN PAKIS,Jamur Krispi,GOJEK
AGN PAKIS,Es Jeruk,GOJEK
AGN PAKIS,Es Mega Mendung,GOJEK
AGN SAWOJAJAR II,Ayam Bakar ,GOJEK
